country_name,country_code,tin,head,income_outside_india_inr,tax_paid_outside_inr,tax_payable_india_inr,relief_inr,dtaa_article,needs_review,review_note
United States of America,2,XXXXX1234X,Salary,0.00,0.00,0.00,0.00,,true,"AAPL: payment in lieu of dividend (shares were on loan) — withheld at the US statutory 30%, not the 25% treaty rate, and not a qualified dividend; interest PAID of 3 USD is an expense, not income — it is excluded here; any s.57 claim must be made manually; withholding of 220.25 INR on 2025-11-20 could not be matched to a distribution — confirm the income it relates to before claiming the credit"
United States of America,2,XXXXX1234X,House Property,0.00,0.00,0.00,0.00,,true,"AAPL: payment in lieu of dividend (shares were on loan) — withheld at the US statutory 30%, not the 25% treaty rate, and not a qualified dividend; interest PAID of 3 USD is an expense, not income — it is excluded here; any s.57 claim must be made manually; withholding of 220.25 INR on 2025-11-20 could not be matched to a distribution — confirm the income it relates to before claiming the credit"
United States of America,2,XXXXX1234X,Capital Gains,91779.20,0.00,13047.21,0.00,,true,"AAPL: payment in lieu of dividend (shares were on loan) — withheld at the US statutory 30%, not the 25% treaty rate, and not a qualified dividend; interest PAID of 3 USD is an expense, not income — it is excluded here; any s.57 claim must be made manually; withholding of 220.25 INR on 2025-11-20 could not be matched to a distribution — confirm the income it relates to before claiming the credit"
United States of America,2,XXXXX1234X,Other Sources,6774.30,1406.89,2113.58,1406.89,10,true,"AAPL: payment in lieu of dividend (shares were on loan) — withheld at the US statutory 30%, not the 25% treaty rate, and not a qualified dividend; interest PAID of 3 USD is an expense, not income — it is excluded here; any s.57 claim must be made manually; withholding of 220.25 INR on 2025-11-20 could not be matched to a distribution — confirm the income it relates to before claiming the credit"
United States of America,2,XXXXX1234X,Total,98553.50,1406.89,15160.79,1406.89,,true,"AAPL: payment in lieu of dividend (shares were on loan) — withheld at the US statutory 30%, not the 25% treaty rate, and not a qualified dividend; interest PAID of 3 USD is an expense, not income — it is excluded here; any s.57 claim must be made manually; withholding of 220.25 INR on 2025-11-20 could not be matched to a distribution — confirm the income it relates to before claiming the credit"
Ireland,353,XXXXX1234X,Salary,0.00,0.00,0.00,0.00,,false,
Ireland,353,XXXXX1234X,House Property,0.00,0.00,0.00,0.00,,false,
Ireland,353,XXXXX1234X,Capital Gains,12991.00,0.00,1688.83,0.00,,false,
Ireland,353,XXXXX1234X,Other Sources,1573.20,0.00,490.84,0.00,,false,
Ireland,353,XXXXX1234X,Total,14564.20,0.00,2179.67,0.00,,false,
